Date,Open,High,Low,Close,Adj Close,Volume
2015-07-10,51.23,51.445,50.639998999999996,50.849998,49.442009000000006,718000
2015-07-13,51.049999,51.349998,50.825001,51.035,49.621887,679200
2015-07-14,51.115002000000004,51.255001,50.869999,51.064999,49.651058,606000
2015-07-15,50.904999,51.07,50.450001,50.529999,49.130875,642400
2015-07-16,50.924999,51.139998999999996,50.830002,51.134997999999996,49.719120000000004,484600
2015-07-17,51.134997999999996,51.134997999999996,50.630001,50.860001000000004,49.451736,562000
2015-07-20,50.825001,51.150002,50.610001000000004,51.099998,49.685093,333400
2015-07-21,51.25,51.365002000000004,50.77,50.950001,49.539242,505200
2015-07-22,51.189999,51.544998,51.0,51.52,50.093468,500800
2015-07-23,51.375,51.685001,51.0,51.125,49.709404,538200
2015-07-24,51.275002,51.43,50.974998,51.165001000000004,49.748290999999995,487000
2015-07-27,50.945,51.369999,50.540001000000004,51.334998999999996,49.913585999999995,739600
2015-07-28,51.314999,52.415001000000004,51.174999,52.400002,50.949093,1245600
2015-07-29,52.325001,53.0,52.279999,52.939999,51.474144,871000
2015-07-30,52.630001,53.415001000000004,52.535,53.380001,51.901962,998400
2015-07-31,53.575001,54.259997999999996,53.514998999999996,54.205002,52.704120999999994,2005400
2015-08-03,54.25,54.365002000000004,53.915001000000004,54.285,52.781906000000006,956000
2015-08-04,54.220001,54.785,53.895,54.755001,53.238888,696000
2015-08-05,54.994999,55.404999,54.790001000000004,55.345001,53.812557,871800
2015-08-06,54.915001000000004,55.529999,54.744999,55.404999,53.870892000000005,947000
2015-08-07,55.130001,55.18,54.369999,54.904999,53.384735,886800
2015-08-10,55.25,55.34,54.950001,55.264998999999996,53.734768,855800
2015-08-11,54.695,55.415001000000004,54.639998999999996,55.299999,53.768799,1013200
2015-08-12,55.18,55.349998,53.865002000000004,54.380001,52.874275,1628800
2015-08-13,54.380001,54.73,54.150002,54.325001,52.820797,1175200
2015-08-14,54.125,54.334998999999996,53.580002,54.25,52.747870999999996,1207000
2015-08-17,54.235001000000004,54.445,53.720001,54.380001,52.874275,957200
2015-08-18,54.099998,54.605,53.939999,54.09,52.592307999999996,1008400
2015-08-19,53.695,53.895,53.07,53.305,51.829041,1415200
2015-08-20,52.724998,53.345001,52.445,52.474998,51.022018,1418200
2015-08-21,52.200001,52.395,51.115002000000004,51.119999,49.70454,2026800
2015-08-24,48.43,50.445,47.299999,49.52,48.148838,2851800
2015-08-25,50.040001000000004,51.055,49.110001000000004,49.110001000000004,47.750198,2415800
2015-08-26,49.5,49.77,47.514998999999996,49.134997999999996,47.774502000000005,3067400
2015-08-27,49.669998,49.785,48.185001,48.875,47.521698,2602800
2015-08-28,48.889998999999996,49.380001,48.450001,49.235001000000004,47.871731,2146000
2015-08-31,49.075001,49.349998,48.830002,49.049999,47.691856,1753000
2015-09-01,48.200001,48.404999,47.724998,47.974998,46.646622,2933600
2015-09-02,48.380001,48.494999,48.009997999999996,48.415001000000004,47.07444,2240800
2015-09-03,48.41,49.165001000000004,48.035,48.709998999999996,47.515839,1713200
2015-09-04,48.18,48.415001000000004,47.525002,47.605,46.437934999999996,2099000
2015-09-08,48.299999,48.98,48.040001000000004,48.974998,47.774342,2448200
2015-09-09,49.384997999999996,49.455002,47.974998,48.080002,46.901291,1899200
2015-09-10,47.93,49.049999,47.82,48.740002000000004,47.545109000000004,2052600
2015-09-11,48.549999,48.549999,47.389998999999996,48.07,46.891537,3199600
2015-09-14,48.07,48.220001,47.360001000000004,47.790001000000004,46.618401,2537600
2015-09-15,47.895,48.485001000000004,47.509997999999996,48.325001,47.140285,1662600
2015-09-16,48.509997999999996,48.970001,48.369999,48.634997999999996,47.442684,1453600
2015-09-17,48.645,49.014998999999996,48.330002,48.445,47.257343,2452800
2015-09-18,47.959998999999996,49.375,47.84,49.375,48.164539000000005,16152000
2015-09-21,49.349998,50.395,49.125,49.939999,48.715687,3674000
2015-09-22,49.59,50.064999,49.325001,49.59,48.374264000000004,2594200
2015-09-23,49.459998999999996,49.709998999999996,49.130001,49.290001000000004,48.081627000000005,925600
2015-09-24,48.855,49.740002000000004,48.785,49.294998,48.086502,1704600
2015-09-25,49.549999,50.139998999999996,49.369999,49.790001000000004,48.569365999999995,1786000
2015-09-28,48.810001,49.27,48.07,48.105,46.925678000000005,2353600
2015-09-29,48.18,48.485001000000004,47.419998,47.759997999999996,46.58913,2089400
2015-09-30,48.349998,48.5,47.735001000000004,48.450001,47.262218,1554000
2015-10-01,48.5,49.139998999999996,48.330002,49.095001,47.891407,2314200
2015-10-02,48.509997999999996,49.875,48.384997999999996,49.855,48.632771000000005,2035400
2015-10-05,50.105,51.669998,50.105,51.509997999999996,50.247196,3159000
2015-10-06,51.25,51.919998,51.105,51.610001000000004,50.344749,2119800
2015-10-07,51.945,52.080002,51.334998999999996,51.895,50.622768,942600
2015-10-08,51.639998999999996,52.82,51.619999,52.735001000000004,51.442165,1322200
2015-10-09,52.564999,53.285,52.325001,52.849998,51.554348,1149200
2015-10-12,52.880001,53.43,52.599998,53.235001000000004,51.929909,926800
2015-10-13,53.27,53.685001,52.970001,53.145,51.842117,1077600
2015-10-14,53.27,53.27,52.810001,52.875,51.578734999999995,883600
2015-10-15,53.384997999999996,53.525002,52.880001,52.959998999999996,51.661652000000004,1335400
2015-10-16,53.169998,53.59,52.919998,53.59,52.276210999999996,590000
2015-10-19,53.584998999999996,53.77,53.169998,53.724998,52.407894,655800
2015-10-20,53.875,54.084998999999996,53.654999,53.985001000000004,52.66151800000001,506400
2015-10-21,54.084998999999996,54.255001,53.860001000000004,54.049999,52.72493000000001,730400
2015-10-22,53.805,54.560001,52.580002,54.485001000000004,53.149265,1585000
2015-10-23,53.939999,54.435001,52.705002,54.240002000000004,52.910270999999995,847200
2015-10-26,54.41,54.41,53.645,53.735001000000004,52.417648,844800
2015-10-27,53.700001,53.849998,53.455002,53.764998999999996,52.446911,846000
2015-10-28,53.544998,54.275002,53.384997999999996,53.77,52.45179399999999,755200
2015-10-29,53.84,53.849998,53.105,53.365002000000004,52.056728,940200
2015-10-30,53.419998,53.535,53.064999,53.09,51.788467,1286600
2015-11-02,53.154999,53.724998,53.125,53.439999,52.129878999999995,888400
2015-11-03,53.580002,53.744999,53.029999,53.299999,51.993317,667200
2015-11-04,53.540001000000004,53.740002000000004,53.110001000000004,53.424999,52.115253,537200
2015-11-05,53.669998,53.77,53.049999,53.439999,52.129878999999995,515600
2015-11-06,53.16,53.470001,52.095001,52.220001,50.939793,951800
2015-11-09,52.275002,52.43,51.599998,51.919998,50.647144,645200
2015-11-10,51.880001,52.189999,51.564999,52.055,50.778835,1145600
2015-11-11,52.119999,52.884997999999996,51.935001,52.605,51.315357,890400
2015-11-12,52.529999,52.875,51.98,51.985001000000004,50.710556,634400
2015-11-13,51.924999,52.125,51.18,51.209998999999996,49.954552,909600
2015-11-16,51.209998999999996,52.209998999999996,51.150002,52.209998999999996,50.930035,774600
